Date,Value
"December 31, 2023",47.79
"September 30, 2023",47.65
"June 30, 2023",48.58
"March 31, 2023",48.41
"December 31, 2022",39.61
"September 30, 2022",44.41
"June 30, 2022",42.74
"March 31, 2022",45.99
"December 31, 2021",53.94
"September 30, 2021",49.59
"June 30, 2021",48.39
"March 31, 2021",45.95
"December 31, 2020",31.44
"September 30, 2020",32.98
"June 30, 2020",17.83
"March 31, 2020",11.88
"December 31, 2019",35.53
"September 30, 2019",33.99
"June 30, 2019",34.93
"March 31, 2019",35.02
"December 31, 2018",28.96
"September 30, 2018",36.36
"June 30, 2018",34.05
"March 31, 2018",33.02
"December 31, 2017",26.96
"September 30, 2017",28.45
"June 30, 2017",27.01
"March 31, 2017",27.46
"December 31, 2016",24.16
"September 30, 2016",25.39
"June 30, 2016",23.28
"March 31, 2016",21.72
"December 31, 2015",18.7
"September 30, 2015",23.22
"June 30, 2015",22.8
"March 31, 2015",21.81
"December 31, 2014",22.83
"September 30, 2014",27.47
"June 30, 2014",27.14
"March 31, 2014",24.87
"December 31, 2013",26.48
"September 30, 2013",24.63
"June 30, 2013",24.87
"March 31, 2013",24.22
"December 31, 2012",20.65
"September 30, 2012",21.21
"June 30, 2012",21.62
"March 31, 2012",23.03
"December 31, 2011",20.64
"September 30, 2011",22.63
